repo_name,repo_owner,stars,forks,open_issues,description,creation_date,last_modification_date,primary_language,ml_libraries,has_tests,repo_size_kb,file_count,size_api_kb;
nilearn,nilearn,1180,600,298,Machine learning for NeuroImaging in Python,2011-01-09 19:02:23+00:00,2024-12-20 11:22:42+00:00,Python,,False,,,64448;
scanpy,scverse,1908,599,575,Single-cell analysis in Python. Scales to >1M cells.,2017-01-29 11:31:11+00:00,2024-12-20 13:51:56+00:00,Python,,True,,,42991;
pybullet-gym,benelot,824,124,33,Open-source implementations of OpenAI Gym MuJoCo environments for use with the OpenAI Gym Reinforcement Learning Research Platform.,2018-01-05 12:35:57+00:00,2024-12-10 09:28:43+00:00,Python,,False,,,19774;
autoreject,autoreject,138,58,37,Automated rejection and repair of bad trials/sensors in M/EEG,2016-05-23 13:28:23+00:00,2024-11-25 11:57:52+00:00,Python,,False,,,714;
ray,ray-project,33632,5712,4172,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,2016-10-25 19:38:30+00:00,2024-12-20 11:14:02+00:00,Python,,True,,,539109;
lingpy,lingpy,124,34,36,LingPy: Python library for quantitative tasks in historical linguistics,2012-10-23 09:38:54+00:00,2024-12-02 08:52:55+00:00,Python,,True,,,26616;
monkeylearn-python,monkeylearn,166,44,1,Official Python client for the MonkeyLearn API. Build and consume machine learning models for language processing from your Python apps.,2015-10-16 16:26:08+00:00,2024-12-19 10:13:57+00:00,Python,,False,,,56;
machine_learning_security,13o-bbr-bbq,1973,654,46,Source code about machine learning and security.,2017-05-01 20:33:43+00:00,2024-12-12 12:51:00+00:00,Python,,True,,,61652;
"recurrent-visual-attention,kevinzakka,469,124,18,""A PyTorch Implementation of """"Recurrent Models of Visual Attention"""""",2017-11-22 15:44:04+00:00,2024-12-10 23:22:31+00:00,Python,,True,,,21505";
"Lifting-from-the-Deep-release,DenisTome,450,132,5,""Implementation of """"Lifting from the Deep: Convolutional 3D Pose Estimation from a Single Image"""""",2017-04-27 14:23:10+00:00,2024-08-15 06:12:22+00:00,Python,,False,,,1036";
kapre,keunwoochoi,922,146,17,kapre: Keras Audio Preprocessors,2016-12-14 18:36:36+00:00,2024-12-11 20:12:55+00:00,Python,,True,,,5091;
pytorch-cnn-visualizations,utkuozbulak,7843,1492,3,Pytorch implementation of convolutional neural network visualization techniques,2017-10-21 07:25:07+00:00,2024-12-19 01:38:51+00:00,Python,,False,,,8035;
jieba,fxsjy,33269,6719,679,结巴中文分词,2012-09-29 07:52:01+00:00,2024-12-20 13:14:52+00:00,Python,,True,,,56033;
deep_sort_yolov3,Qidian213,1655,593,103,Real-time Multi-person tracker using YOLO v3 and deep_sort with tensorflow ,2018-05-07 08:58:39+00:00,2024-12-17 08:55:14+00:00,Python,,False,,,10993;
mlogger,oval-group,127,12,1,a lightweight and simple logger for Machine Learning,2017-03-02 16:19:08+00:00,2024-01-04 16:11:57+00:00,Python,,True,,,174;
"rl-starter-files,lcswillems,649,184,11,""RL starter files in order to immediately train, visualize and evaluate an agent without writing any line of code"",2018-04-11 14:47:48+00:00,2024-12-05 10:04:15+00:00,Python,torch,False,,,28762";
loudml,regel,298,93,95,Loud ML is the first open-source AI solution for ICT and IoT automation,2018-01-16 13:49:22+00:00,2024-10-15 16:55:01+00:00,Python,keras,True,,,2943;
improved-wgan-pytorch,jalola,439,68,1,Improved WGAN in Pytorch,2018-02-27 20:41:02+00:00,2024-12-02 20:18:01+00:00,Python,torch,False,,,2288;
scikit-cuda,lebedov,986,179,58,Python interface to GPU-powered libraries,2010-09-27 02:02:07+00:00,2024-12-15 17:16:07+00:00,Python,,True,,,2563;
ffx,natekupp,80,97,13,Fast Function Extraction,2012-01-10 17:33:27+00:00,2024-06-24 07:32:57+00:00,Python,,True,,,44747;
neurosynth,neurosynth,325,157,13,Neurosynth core tools,2011-06-20 16:04:17+00:00,2024-12-09 03:26:03+00:00,Python,scikit-learn,False,,,2227;
devol,joeddav,949,116,7,Genetic neural architecture search with Keras,2017-02-10 03:07:54+00:00,2024-11-20 09:37:41+00:00,Python,,False,,,85;
"content-engine,groveco,534,164,9,""A very simple content-based recommendation engine. Great for learning, but also ready for real-world use."",2016-05-26 23:00:36+00:00,2024-11-21 10:37:01+00:00,Python,,True,,,145";
biotite,biotite-dev,666,101,37,A comprehensive library for computational molecular biology,2017-07-30 12:18:33+00:00,2024-12-20 13:10:58+00:00,Python,,True,,,188416;
ProDy,prody,433,157,87,A Python Package for Protein Dynamics Analysis,2010-10-31 15:57:43+00:00,2024-12-18 02:37:20+00:00,Python,,False,,,134715;
self-critical.pytorch,ruotianluo,995,278,88,Unofficial pytorch implementation for Self-critical Sequence Training for Image Captioning. and others.,2017-05-05 05:15:04+00:00,2024-11-25 21:06:41+00:00,Python,,True,,,614;
ImageCaptioning.pytorch,ruotianluo,1442,415,98,I decide to sync up this repo and self-critical.pytorch. (The old master is in old master branch for archive),2017-02-10 08:49:20+00:00,2024-12-16 04:12:39+00:00,Python,,True,,,1426;
pymorphy2,pymorphy2,1120,123,84,Morphological analyzer / inflection engine for Russian and Ukrainian languages.,2012-08-30 20:41:13+00:00,2024-12-17 21:21:56+00:00,Python,,True,,,2873;
image-similarity-clustering,zegami,236,50,9,This project allows images to be automatically grouped into like clusters using a combination of machine learning techniques.,2017-09-10 15:51:11+00:00,2024-12-19 11:40:52+00:00,Python,tensorflow,False,,,52;
reframe,reframe-hpc,220,103,130,A powerful Python framework for writing and running portable regression tests and benchmarks for HPC systems.,2017-04-25 16:43:23+00:00,2024-12-19 13:47:54+00:00,Python,,True,,,52054;
cnn_lstm_ctc_ocr,weinman,498,170,3,Tensorflow-based  CNN+LSTM trained with CTC-loss for OCR,2017-06-02 09:36:41+00:00,2024-12-16 06:35:01+00:00,Python,,False,,,10685;
mead-baseline,mead-ml,243,73,13,Deep-Learning Model Exploration and Development for NLP,2016-04-24 14:23:02+00:00,2024-12-08 00:34:21+00:00,Python,,True,,,11710;
auto-sklearn,automl,7605,1279,200,Automated Machine Learning with scikit-learn,2015-07-02 15:38:10+00:00,2024-12-19 10:08:15+00:00,Python,scikit-learn,True,,,126434;
HPOBench,automl,137,36,33,Collection of hyperparameter optimization benchmark problems,2020-01-14 07:58:39+00:00,2024-12-15 13:35:52+00:00,Python,,True,,,758;
ParameterImportance,automl,76,19,17,Parameter Importance Analysis Tool,2016-11-22 09:10:30+00:00,2024-10-24 13:50:37+00:00,Python,scikit-learn,False,,,5720;
SMAC3,automl,1081,223,99,SMAC3: A Versatile Bayesian Optimization Package for Hyperparameter Optimization,2016-08-17 10:58:05+00:00,2024-12-15 08:23:02+00:00,Python,,True,,,162220;
text_classification,brightmart,7853,2573,46,all kinds of text classification models and more with deep learning,2017-05-30 14:25:42+00:00,2024-12-19 18:57:52+00:00,Python,,False,,,14810;
"openTSNE,pavlin-policar,1465,162,5,""Extensible, parallel implementations of t-SNE"",2018-06-08 18:42:09+00:00,2024-12-17 14:18:42+00:00,Python,,True,,,73373";
osim-rl,stanfordnmbl,889,249,36,Reinforcement learning environments with musculoskeletal models,2016-10-15 23:14:15+00:00,2024-12-10 12:27:59+00:00,Python,,True,,,31393;
"enet-keras,PavlosMelissinos,115,46,18,A keras implementation of ENet (abandoned for the foreseeable future),2017-03-30 19:55:12+00:00,2024-01-04 16:12:47+00:00,Python,""tensorflow,torch"",False,,,289";
mir_eval,mir-evaluation,610,113,49,Evaluation functions for music/audio information retrieval/signal processing algorithms.,2013-08-06 17:04:10+00:00,2024-12-14 05:55:23+00:00,Python,,True,,,15217;
pythainlp,PyThaiNLP,983,274,47,Thai Natural Language Processing in Python.,2016-06-23 14:57:26+00:00,2024-12-18 07:52:41+00:00,Python,,True,,,68710;
lexicon-thai,PyThaiNLP,141,109,0,คลังศัพท์ภาษาไทย,2017-01-14 03:41:47+00:00,2024-11-20 15:29:31+00:00,Python,,False,,,8054;
mmdetection,open-mmlab,29449,9432,1806,OpenMMLab Detection Toolbox and Benchmark,2018-08-22 07:06:06+00:00,2024-12-20 13:55:24+00:00,Python,,True,,,64771;
mmcv,open-mmlab,5876,1637,397,OpenMMLab Computer Vision Foundation,2018-08-22 07:05:26+00:00,2024-12-20 08:49:05+00:00,Python,,True,,,14696;
dlcookbook-dlbs,HewlettPackard,130,51,9,Deep Learning Benchmarking Suite,2017-11-09 18:39:57+00:00,2024-07-10 16:44:54+00:00,Python,,False,,,14034;
ann-benchmarks,erikbern,4933,745,74,Benchmarks of approximate nearest neighbor libraries in Python,2015-05-28 13:21:43+00:00,2024-12-19 08:56:10+00:00,Python,scikit-learn,True,,,24529;
medpy,loli,576,138,1,Medical image processing in Python,2012-05-11 10:57:34+00:00,2024-12-19 16:43:19+00:00,Jupyter Notebook,,True,,,13146;
sos,vatlab,274,45,65,SoS workflow system for daily data analysis,2016-02-13 00:46:46+00:00,2024-12-10 22:29:15+00:00,Python,,True,,,18249;
acl-anthology,acl-org,426,283,410,Data and software for building the ACL Anthology.,2014-05-23 08:37:21+00:00,2024-12-20 15:45:24+00:00,Python,,True,,,386661;
AdversarialDNN-Playground,QData,129,31,5,VizSec17: Web-based visualization tool for adversarial machine learning / LiveDemo,2017-04-07 19:37:34+00:00,2024-11-12 03:50:25+00:00,Python,tensorflow,False,,,146274;
"textacy,chartbeat-labs,2214,250,35,""NLP, before and after spaCy"",2016-02-03 16:52:45+00:00,2024-12-18 05:11:26+00:00,Python,,True,,,32964";
"CNNGestureRecognizer,asingh33,979,358,14,Gesture recognition via CNN. Implemented in Keras + Tensorflow/Theano + OpenCV,2017-04-30 19:39:48+00:00,2024-12-10 11:16:02+00:00,Python,""tensorflow,scikit-learn"",False,,,17568";
"congress-legislators,unitedstates,2057,505,73,""Members of the United States Congress, 1789-Present, in YAML/JSON/CSV, as well as committees, presidents, and vice presidents."",2012-09-27 23:10:05+00:00,2024-12-20 10:41:52+00:00,Python,,True,,,80034";
CapsLayer,naturomics,361,117,19,CapsLayer: An advanced library for capsule theory,2017-11-26 08:54:22+00:00,2024-12-05 03:06:12+00:00,Python,,False,,,9732;
pyglmnet,glm-tools,280,84,39,Python implementation of elastic-net regularized generalized linear models,2016-04-02 15:46:24+00:00,2024-10-21 08:33:10+00:00,Python,scikit-learn,True,,,7667;
"pytorch2keras,gmalivenko,857,143,64,PyTorch to Keras model convertor,2017-11-16 20:21:43+00:00,2024-12-09 14:31:57+00:00,Python,""tensorflow,torch,keras"",True,,,243";
neurolab,zueve,163,41,15,Neurolab is a simple and powerful Neural Network Library for Python,2015-03-16 11:34:09+00:00,2024-10-16 00:42:41+00:00,Python,,True,,,384;
"edge-connect,knazeri,2512,532,107,""EdgeConnect: Structure Guided Image Inpainting using Edge Prediction, ICCV  2019 https://arxiv.org/abs/1901.00212 "",2018-12-16 02:14:19+00:00,2024-12-19 02:23:49+00:00,Python,,True,,,1376";
ristretto,erichson,116,26,7,Randomized Dimension Reduction Library,2017-05-18 21:05:12+00:00,2024-08-29 23:23:35+00:00,Jupyter Notebook,scikit-learn,False,,,12401;
python-paillier,data61,601,134,20,A library for Partially Homomorphic Encryption in Python,2014-11-05 07:15:28+00:00,2024-12-17 16:47:37+00:00,Python,,False,,,299;
plotly.R,plotly,2554,625,709,An interactive graphing library for R,2013-11-21 05:56:51+00:00,2024-12-20 06:55:01+00:00,R,,True,,,116368;
lstm-siamese-text-similarity,amansrivastava17,282,88,5,⚛️ It is keras based implementation of siamese architecture using lstm encoders to compute text similarity,2018-03-23 11:36:08+00:00,2024-11-30 13:11:03+00:00,Python,tensorflow,False,,,71;
TICC,davidhallac,457,161,25,,2017-01-25 19:59:10+00:00,2024-12-07 18:53:54+00:00,Python,,True,,,2441;
numerapi,uuazed,177,71,7,Python API and command line interface for the numer.ai machine learning competition,2017-12-20 22:25:23+00:00,2024-10-04 02:44:29+00:00,Python,,True,,,604;
"mystic,uqfoundation,464,50,93,""constrained nonlinear optimization for scientific machine learning, UQ, and AI"",2013-06-28 06:25:23+00:00,2024-12-19 02:58:00+00:00,Python,,False,,,3958";
numpy,numpy,27898,10026,2170,The fundamental package for scientific computing with Python.,2010-09-13 23:02:39+00:00,2024-12-20 15:41:02+00:00,Python,,True,,,156984;
deepo,ufoym,6319,749,1,Setup and customize deep learning environment in seconds.,2017-10-27 11:41:49+00:00,2024-12-19 09:58:19+00:00,Python,,False,,,375;
CostSensitiveClassification,albahnsen,207,83,13,CostSensitiveClassification Library in Python,2014-08-11 07:56:34+00:00,2024-09-24 01:13:13+00:00,Python,,False,,,8677;
dl-gesture-recognition,govzhz,91,22,9,A real time hand gesture recognition system based on deep learning,2016-12-30 15:23:36+00:00,2024-12-18 07:13:29+00:00,Python,,False,,,60542;
"anago,Hironsan,1482,368,46,""Bidirectional LSTM-CRF and ELMo for Named-Entity Recognition, Part-of-Speech Tagging and so on."",2017-06-26 21:28:36+00:00,2024-12-13 13:26:29+00:00,Python,""tensorflow,scikit-learn"",True,,,7689";
"DeepRL,ShangtongZhang,3181,681,7,Modularized Implementation of Deep RL Algorithms in PyTorch,2017-04-20 19:59:53+00:00,2024-12-20 09:37:24+00:00,Python,""tensorflow,torch"",False,,,10866";
reinforcement-learning-an-introduction,ShangtongZhang,13563,4822,21,Python Implementation of Reinforcement Learning: An Introduction,2016-09-13 16:24:05+00:00,2024-12-20 07:51:27+00:00,Python,,False,,,6085;
CellProfiler,CellProfiler,912,376,311,An open-source application for biological image analysis,2011-04-05 12:10:12+00:00,2024-12-18 19:48:20+00:00,Python,,True,,,195848;
GraKeL,ysig,596,97,9,A scikit-learn compatible library for graph kernels,2017-10-31 13:05:27+00:00,2024-12-19 10:24:59+00:00,Python,scikit-learn,False,,,27696;
"keras,keras-team,61940,19459,252,Deep Learning for humans,2015-03-28 00:35:42+00:00,2024-12-20 14:09:22+00:00,Python,""tensorflow,torch,keras"",True,,,46258";
"keras-preprocessing,keras-team,1023,443,93,""Utilities for working with image data, text data, and sequence data."",2018-05-30 22:43:36+00:00,2024-12-05 15:05:38+00:00,Python,,True,,,470";
keras-applications,keras-team,1999,907,61,Reference implementations of popular deep learning models.,2018-06-01 19:00:18+00:00,2024-12-18 15:15:08+00:00,Python,,True,,,464;
autokeras,keras-team,9137,1401,144,AutoML library for deep learning,2017-11-19 23:18:20+00:00,2024-12-20 10:11:47+00:00,Python,,False,,,45538;
ssd_keras,pierluigiferrari,1861,937,25,A Keras port of Single Shot MultiBox Detector,2017-04-02 16:20:32+00:00,2024-12-03 13:03:13+00:00,Python,,False,,,20185;
senet.pytorch,moskomule,2278,441,0,PyTorch implementation of SENet,2017-09-12 12:26:27+00:00,2024-12-20 09:58:56+00:00,Python,,False,,,61;
face-alignment,1adrianb,7060,1345,80,:fire: 2D and 3D Face alignment library build using pytorch ,2017-09-15 20:32:44+00:00,2024-12-20 10:33:16+00:00,Python,,True,,,6422;
ldsc,bulik,642,342,302,LD Score Regression (LDSC),2014-05-18 22:15:29+00:00,2024-12-18 13:28:36+00:00,Python,,True,,,57816;
attn2d,elbayadm,501,72,3,Pervasive Attention: 2D Convolutional Networks for Sequence-to-Sequence Prediction,2018-08-10 09:47:53+00:00,2024-11-21 07:47:33+00:00,Python,,True,,,6515;
"MVSNet,YoYo000,1397,304,75,MVSNet (ECCV2018) & R-MVSNet (CVPR2019),2018-07-04 06:20:01+00:00,2024-12-19 09:46:27+00:00,Python,""tensorflow,scikit-learn"",False,,,6741";
"adversarial-robustness-toolbox,Trusted-AI,4830,1160,140,""Adversarial Robustness Toolbox (ART) - Python Library for Machine Learning Security - Evasion, Poisoning, Extraction, Inference - Red and Blue Teams"",2018-03-15 14:40:43+00:00,2024-12-20 03:35:59+00:00,Python,,True,,,640007";
MAX-Object-Detector,IBM,289,224,7, Localize and identify multiple objects in a single image.,2018-03-09 23:29:27+00:00,2024-11-06 09:39:42+00:00,Python,tensorflow,True,,,209936;
tensorflow-hangul-recognition,IBM,247,134,7,Handwritten Korean Character Recognition with TensorFlow and Android,2017-08-30 18:05:54+00:00,2024-11-27 14:31:06+00:00,Python,tensorflow,True,,,81151;
"AIF360,Trusted-AI,2437,835,200,""A comprehensive set of fairness metrics for datasets and machine learning models, explanations for these metrics, and algorithms to mitigate bias in datasets and models."",2018-08-22 20:47:15+00:00,2024-12-18 18:17:25+00:00,Python,""tensorflow,torch,lightgbm"",True,,,6837";
pytorch-i-revnet,jhjacobsen,389,45,3,i-RevNet Pytorch Code,2018-02-20 22:48:25+00:00,2024-12-20 06:30:03+00:00,Python,,False,,,390;
cv-tricks.com,legolas123,468,579,10,Repository for all the tutorials and codes shared at cv-tricks.com,2017-02-18 08:01:34+00:00,2024-12-03 09:20:29+00:00,Python,,False,,,32551;
Object-detection,lbeaucourt,513,216,0,Object detection project for real-time (webcam) and offline (video processing) application.,2018-04-06 07:30:13+00:00,2024-12-10 23:09:05+00:00,Python,,False,,,51093;
classification_models,qubvel,1217,307,35,Classification models trained on ImageNet. Keras.,2018-05-21 22:07:06+00:00,2024-12-20 15:16:00+00:00,Python,keras,True,,,4210;
segmentation_models,qubvel,4744,1035,271,Segmentation models with pretrained backbones. Keras and TensorFlow Keras.,2018-06-05 13:27:56+00:00,2024-12-20 15:15:50+00:00,Python,keras,True,,,1860;
deconvfaces,somewacko,892,130,2,Generating faces with deconvolution networks,2016-04-27 03:11:22+00:00,2024-08-20 06:29:51+00:00,Python,,False,,,1840;
CyberThreatHunting,A3sal0n,851,168,1,A collection of resources for Threat Hunters,2017-02-25 14:47:59+00:00,2024-12-18 16:26:22+00:00,Python,,False,,,43904;
ffn,pmorissette,2026,300,21,ffn - a financial function library for Python,2014-06-19 15:54:09+00:00,2024-12-20 15:18:00+00:00,Python,,True,,,9729;
bt,pmorissette,2258,428,76,bt - flexible backtesting for Python,2014-06-19 16:06:28+00:00,2024-12-19 12:36:52+00:00,Python,,True,,,17937;
grand-challenge.org,comic,176,51,43,A platform for end-to-end development of machine learning solutions in biomedical imaging,2012-06-05 09:26:39+00:00,2024-12-19 12:36:18+00:00,Python,,False,,,66657;
"DeepImageReconstruction,KamitaniLab,275,61,6,""Data and code for Shen, Horikawa, Majima, and Kamitani (2019) Deep image reconstruction from human brain activity. PLoS Comput. Biol. http://dx.doi.org/10.1371/journal.pcbi.1006633."",2017-12-26 02:37:06+00:00,2024-12-05 08:34:48+00:00,Python,,False,,,293";
"deep-learning-from-scratch-2,oreilly-japan,1071,741,8,""『ゼロから作る Deep Learning ❷』(O'Reilly Japan, 2018)"",2018-02-19 06:00:19+00:00,2024-12-19 02:20:12+00:00,Python,,False,,,8083";
"deep-learning-from-scratch,oreilly-japan,4036,3357,14,""『ゼロから作る Deep Learning』(O'Reilly Japan, 2016)"",2016-06-29 07:33:04+00:00,2024-12-20 09:29:30+00:00,Jupyter Notebook,,False,,,10857";
bayeslite,probcomp,923,64,193,BayesDB on SQLite. A Bayesian database table for querying the probable implications of data as easily as SQL databases query the data itself.,2014-10-30 01:26:34+00:00,2024-12-17 22:03:29+00:00,Python,,True,,,8016;
Chiron,haotianteng,122,53,9,A basecaller for Oxford Nanopore Technologies' sequencers,2017-05-07 22:07:11+00:00,2024-09-22 12:32:57+00:00,Python,,False,,,219753;
"pudl,catalyst-cooperative,475,109,403,""The Public Utility Data Liberation Project provides analysis-ready energy system data to climate advocates, researchers, policymakers, and journalists."",2017-02-01 17:45:40+00:00,2024-12-20 00:24:05+00:00,Python,,True,,,461045";
"Theano,Theano,9901,2488,697,""Theano was a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-dimensional arrays efficiently. It is being continued as PyTensor: www.github.com/pymc-devs/pytensor"",2011-08-10 03:48:06+00:00,2024-12-20 11:24:49+00:00,Python,,False,,,68115";
vmaf,Netflix,4565,748,60,Perceptual video quality assessment based on multi-method fusion.,2016-02-08 18:41:38+00:00,2024-12-19 01:45:11+00:00,Python,,True,,,102020;
dataiku-contrib,dataiku,100,82,35,Public repository for DSS plugins,2015-10-27 22:41:00+00:00,2024-11-29 22:46:33+00:00,Python,,True,,,12887;
underthesea,undertheseanlp,1398,273,57,Underthesea - Vietnamese NLP Toolkit,2017-03-01 10:24:26+00:00,2024-12-18 08:36:42+00:00,Python,,True,,,174077;
sigopt-sklearn,sigopt,75,11,3,SigOpt wrappers for scikit-learn methods,2016-04-15 20:58:39+00:00,2024-04-29 21:26:03+00:00,Python,scikit-learn,True,,,126;
pliers,PsychoinformaticsLab,296,68,55,Automated feature extraction in Python,2015-04-07 02:51:28+00:00,2024-11-18 12:25:18+00:00,Python,,True,,,18132;
deepwalk,phanein,2675,826,46,DeepWalk - Deep Learning for Graphs,2014-08-23 03:38:20+00:00,2024-12-20 13:11:42+00:00,Python,,True,,,21784;
posewarp-cvpr2018,balakg,194,47,5,,2017-04-15 03:33:20+00:00,2024-10-17 10:16:13+00:00,Python,,False,,,197709;
"code2vec,tech-srl,1102,286,29,""TensorFlow code for the neural network presented in the paper: """"code2vec: Learning Distributed Representations of Code"""""",2018-07-24 03:40:20+00:00,2024-12-19 08:30:14+00:00,Python,tensorflow,False,,,5265";
"Wordbatch,anttttti,413,61,13,""Python library for distributed AI processing pipelines, using swappable scheduler backends."",2016-08-29 09:14:58+00:00,2024-11-12 02:48:47+00:00,Python,,False,,,1447";
acoular,acoular,484,128,45,Acoular - Acoustic testing and source mapping software,2015-01-23 11:02:57+00:00,2024-12-19 13:50:27+00:00,Python,,True,,,34705;
"NLP-Cube,adobe,552,93,5,""Natural Language Processing Pipeline - Sentence Splitting, Tokenization, Lemmatization, Part-of-speech Tagging and Dependency Parsing"",2018-03-13 18:50:44+00:00,2024-11-18 20:44:47+00:00,HTML,torch,True,,,11625";
deepdrive,deepdrive,895,148,40,Deepdrive is a simulator that allows anyone with a PC to push the state-of-the-art in self-driving,2017-11-21 17:28:45+00:00,2024-12-15 16:29:13+00:00,Python,,True,,,4412;
simhash,1e0ng,977,223,5,A Python Implementation of Simhash Algorithm,2013-09-14 17:30:26+00:00,2024-12-17 14:38:12+00:00,Python,,True,,,511;
DCRNN,liyaguang,1203,397,25,Implementation of Diffusion Convolutional Recurrent Neural Network in Tensorflow,2017-12-08 01:32:19+00:00,2024-12-19 13:51:51+00:00,Python,tensorflow,False,,,130963;
serenata-de-amor,okfn-brasil,4518,659,76,🕵 Artificial Intelligence for social control of public administration | **This repository does not receive frequent updates. Check out the README**,2016-06-27 20:55:11+00:00,2024-12-20 01:29:33+00:00,Python,,False,,,71003;
arsenal,timvieira,271,55,1,Arsenal of python utilities.,2010-11-12 17:37:36+00:00,2024-11-20 15:25:53+00:00,Python,,True,,,25283;
NAB,numenta,1930,868,40,The Numenta Anomaly Benchmark,2014-05-06 17:39:21+00:00,2024-12-19 08:05:53+00:00,Jupyter Notebook,scikit-learn,True,,,85513;
efficient_densenet_pytorch,gpleiss,1521,327,12,A memory-efficient implementation of DenseNets,2017-05-31 17:19:25+00:00,2024-12-18 06:20:17+00:00,Python,,False,,,1144;
studio,studioml,379,52,58,Studio: Simplify and expedite model building process,2017-05-15 01:49:28+00:00,2024-12-10 16:49:25+00:00,Python,,True,,,2627;
"pixyz,masa-su,491,41,14,""A library for developing deep generative models in a more concise, intuitive and extendable way"",2018-06-04 05:41:09+00:00,2024-12-15 13:39:46+00:00,Jupyter Notebook,,True,,,7392";
"knowledge-distillation-pytorch,haitongli,1851,344,18,A PyTorch implementation for exploring deep and shallow knowledge distillation (KD) experiments with flexibility,2018-03-09 23:58:31+00:00,2024-12-20 06:50:43+00:00,Python,""tensorflow,torch"",False,,,23147";
"hmmlearn,hmmlearn,3056,738,72,""Hidden Markov Models in Python, with scikit-learn like API"",2014-03-23 10:33:09+00:00,2024-12-18 05:02:16+00:00,Python,,False,,,2312";
"vehicle_counting_tensorflow,ahmetozlu,891,361,33,"":oncoming_automobile: """"MORE THAN VEHICLE COUNTING!"""" This project provides prediction for speed, color and size of the vehicles with TensorFlow Object Counting API."",2018-01-25 07:01:53+00:00,2024-12-19 19:35:15+00:00,Python,tensorflow,False,,,249519";
dataset,openimages,4256,604,34,The Open Images dataset,2016-09-29 05:41:30+00:00,2024-12-20 01:18:02+00:00,Python,,False,,,3109;
keras-vis,raghakot,2979,661,117,Neural network visualization toolkit for keras,2016-11-11 23:27:34+00:00,2024-12-07 02:44:21+00:00,Python,,True,,,153803;
"ResumeParser,bjherger,367,216,15,""A framework to parse resumes, extract contact & other information, and check for required terms"",2015-02-26 01:22:05+00:00,2024-12-12 06:49:39+00:00,Python,,False,,,55296";
"poincare-embeddings,facebookresearch,1676,231,31,""PyTorch implementation of the NIPS-17 paper """"Poincaré Embeddings for Learning Hierarchical Representations"""""",2018-01-19 18:53:04+00:00,2024-12-17 12:51:21+00:00,Python,""torch,scikit-learn"",False,,,406";
DME,facebookresearch,332,49,0,Dynamic Meta-Embeddings for Improved Sentence Representations,2018-09-18 17:49:37+00:00,2024-04-26 04:59:40+00:00,Python,torch,False,,,48;
deepcluster,facebookresearch,1675,324,10,Deep Clustering for Unsupervised Learning of Visual Features,2018-08-09 14:06:54+00:00,2024-12-17 08:05:06+00:00,Python,,False,,,68;
end-to-end-negotiator,facebookresearch,1378,276,3,Deal or No Deal? End-to-End Learning for Negotiation Dialogues,2017-06-13 16:41:05+00:00,2024-12-19 09:42:57+00:00,Python,,False,,,1650;
SentEval,facebookresearch,2087,309,37,A python tool for evaluating the quality of sentence embeddings.,2017-05-18 20:44:47+00:00,2024-12-17 09:44:30+00:00,Python,,False,,,34098;
"ParlAI,facebookresearch,10483,2095,51,A framework for training and evaluating AI models on a variety of openly available dialogue datasets.,2017-04-24 17:10:44+00:00,2024-12-20 05:26:19+00:00,Python,""torch,scikit-learn"",True,,,149271";
"ReAgent,facebookresearch,3569,521,86,""A platform for Reasoning systems (Reinforcement Learning, Contextual Bandits, etc.)"",2017-07-27 17:53:21+00:00,2024-12-19 18:42:13+00:00,Python,,False,,,32666";
"Detectron,facebookresearch,26265,5455,331,""FAIR's research platform for object detection research, implementing popular algorithms like Mask R-CNN and RetinaNet."",2017-10-05 17:32:00+00:00,2024-12-20 03:03:32+00:00,Python,,False,,,4525";
"visdom,fossasia,10015,1137,117,""A flexible tool for creating, organizing, and sharing visualizations of live, rich data. Supports Torch and Numpy."",2017-01-25 17:59:45+00:00,2024-12-20 13:03:48+00:00,Python,,True,,,36543";
DrQA,facebookresearch,4477,898,57,Reading Wikipedia to Answer Open-Domain Questions,2017-07-07 22:44:16+00:00,2024-12-16 19:04:42+00:00,Python,scikit-learn,False,,,563;
mmf,facebookresearch,5492,938,151,A modular framework for vision & language multimodal research from Facebook AI Research (FAIR),2018-06-27 04:52:40+00:00,2024-12-20 05:30:51+00:00,Python,torch,True,,,18263;
pytext,facebookresearch,6338,801,145,A natural language modeling framework based on PyTorch,2018-07-31 23:40:46+00:00,2024-12-20 05:14:39+00:00,Python,torch,True,,,8448;
fastMRI,facebookresearch,1330,373,20,A large-scale dataset of both raw MRI measurements and clinical MRI images.,2018-10-26 22:21:23+00:00,2024-12-19 06:57:48+00:00,Python,,True,,,1412;
tensorly,tensorly,1552,290,61,TensorLy: Tensor Learning in Python.,2016-10-21 23:14:52+00:00,2024-12-20 15:07:24+00:00,Python,,False,,,16783;
"pyod,yzhao062,8539,1364,220,""A Python Library for Outlier and Anomaly Detection, Integrating Classical and Deep Learning Techniques"",2017-10-03 20:29:04+00:00,2024-12-20 12:56:24+00:00,Python,scikit-learn,False,,,41232";
pandastable,dmnfarrell,630,124,47,Table analysis in Tkinter using pandas DataFrames.,2015-03-16 12:26:38+00:00,2024-12-15 15:24:16+00:00,Python,,False,,,9427;
seq2seq,keon,689,172,12,Minimal Seq2Seq model with Attention for Neural Machine Translation in PyTorch,2017-12-02 11:42:18+00:00,2024-12-09 17:36:58+00:00,Python,,False,,,32;
