repo_name,repo_owner,stars,forks,open_issues,description,creation_date,last_modification_date,primary_language,ml_libraries,has_tests,repo_size_kb,file_count,size_api_kb;
faster-rcnn.pytorch,jwyang,7681,2330,423,A faster pytorch implementation of faster r-cnn,2017-08-03 19:46:54+00:00,2024-12-20 14:13:25+00:00,Python,,True,,,6389;
ASRT_SpeechRecognition,nl8590687,7817,1895,110,A Deep-Learning-Based Chinese Speech Recognition System 基于深度学习的中文语音识别系统,2017-03-06 15:28:21+00:00,2024-12-18 12:09:34+00:00,Python,tensorflow,False,,,8143;
treeinterpreter,andosa,745,140,26,,2015-08-02 20:26:21+00:00,2024-12-11 17:52:25+00:00,Python,,True,,,28;
SimpleHTR,githubharald,1985,889,0,Handwritten Text Recognition (HTR) system implemented with TensorFlow.,2018-06-13 13:30:25+00:00,2024-12-19 16:05:04+00:00,Python,tensorflow,False,,,80846;
machine-learning-diff-private-federated-learning,SAP-samples,355,94,6,Simulate a federated setting and run differentially private federated learning.,2018-02-12 09:14:54+00:00,2024-12-20 13:17:03+00:00,Python,,False,,,85;
bambi,bambinos,1075,122,85,BAyesian Model-Building Interface (Bambi) in Python.,2016-05-16 03:21:00+00:00,2024-12-18 16:23:52+00:00,Python,,True,,,635679;
Synchronized-BatchNorm-PyTorch,vacancy,1502,189,11,Synchronized Batch Normalization implementation in PyTorch.,2018-01-26 16:13:54+00:00,2024-12-11 07:32:27+00:00,Python,,True,,,46;
PyEMMA,markovmodel,311,119,57,🚂 Python API for Emma's Markov Model Algorithms 🚂,2014-10-07 13:32:57+00:00,2024-12-19 15:10:04+00:00,Python,,True,,,10813;
UpSetPlot,jnothman,327,64,45,Draw UpSet plots with Matplotlib,2018-02-21 12:23:00+00:00,2024-12-12 22:43:02+00:00,Python,,False,,,1751;
nmt-chatbot,daniel-kukiela,385,212,68,NMT Chatbot,2017-11-21 19:56:22+00:00,2024-11-23 00:19:20+00:00,Python,tensorflow,True,,,12038;
bnpy,bnpy,209,58,25,Bayesian nonparametric machine learning for Python,2016-12-06 12:56:07+00:00,2024-12-17 15:55:30+00:00,Python,scikit-learn,True,,,19663;
"CapsNet-Keras,XifengGuo,2464,652,29,""A Keras implementation of CapsNet in NIPS2017 paper """"Dynamic Routing Between Capsules"""". Now test error ＝ 0.34%. "",2017-10-30 09:18:29+00:00,2024-12-12 18:54:52+00:00,Python,,False,,,1090";
sru,asappresearch,2104,306,68,Training RNNs as Fast as CNNs (https://arxiv.org/abs/1709.02755),2017-08-28 20:37:41+00:00,2024-12-18 16:00:41+00:00,Python,torch,True,,,1030;
CipherGAN,for-ai,122,25,6,TensorFlow implementation of CipherGAN,2017-10-19 01:07:24+00:00,2024-10-26 04:24:01+00:00,Python,tensorflow,True,,,39;
dask-image,dask,210,47,72,Distributed image processing,2018-03-02 16:30:58+00:00,2024-12-16 12:08:30+00:00,Python,,True,,,477;
dask-xgboost,dask,162,43,33,,2017-02-18 13:27:56+00:00,2024-09-05 11:37:16+00:00,Python,xgboost,False,,,91;
distributed,dask,1576,718,1571,A distributed task scheduler for Dask,2015-09-13 18:42:29+00:00,2024-12-20 14:13:57+00:00,Python,,True,,,350716;
dask-ml,dask,899,256,280,Scalable Machine Learning with Dask,2017-06-15 15:56:06+00:00,2024-12-19 09:55:21+00:00,Python,,True,,,102817;
onnx-coreml,onnx,395,80,54,ONNX to Core ML Converter,2017-10-16 20:26:31+00:00,2024-11-26 04:11:17+00:00,Python,,True,,,4141;
onnx-tensorflow,onnx,1281,297,269,Tensorflow Backend for ONNX,2017-10-05 21:30:34+00:00,2024-12-11 02:16:14+00:00,Python,,True,,,1987;
onnxmltools,onnx,1011,181,132,ONNXMLTools enables conversion of models to ONNX,2018-02-16 20:37:33+00:00,2024-12-19 06:46:52+00:00,Python,,True,,,3658;
robotreviewer,ijmarshall,140,84,16,Automatic synthesis of RCTs,2016-07-21 19:23:35+00:00,2024-12-13 21:05:17+00:00,Python,,False,,,650570;
pysc2-examples,chris-chris,755,356,26,StarCraft II - pysc2 Deep Reinforcement Learning Examples,2017-08-19 14:50:06+00:00,2024-11-27 18:34:20+00:00,Python,tensorflow,True,,,5196;
PointCNN,yangyanli,1377,365,59,PointCNN: Convolution On X-Transformed Points (NeurIPS 2018),2017-08-22 22:45:32+00:00,2024-12-19 05:30:46+00:00,Python,tensorflow,True,,,343;
Pytorch-UNet,milesial,9146,2492,110,PyTorch implementation of the U-Net for image semantic segmentation with high quality images,2017-08-16 12:17:08+00:00,2024-12-20 12:57:13+00:00,Python,,False,,,48537;
attention-ocr,emedvedev,1073,258,27,A Tensorflow model for text recognition (CNN + seq2seq with visual attention) available as a Python package and compatible with Google Cloud ML Engine.,2017-07-21 18:35:19+00:00,2024-12-13 02:31:29+00:00,Python,tensorflow,False,,,263;
"kinetics_i3d_pytorch,hassony2,528,114,12,""Inflated i3d network with inception backbone, weights transfered from tensorflow"",2017-08-21 09:13:22+00:00,2024-12-16 14:01:01+00:00,Python,,False,,,281289";
dragonn,kundajelab,254,71,17,A toolkit to learn how to model and interpret regulatory sequence data using deep learning.,2016-06-02 00:03:18+00:00,2024-11-27 16:30:30+00:00,Jupyter Notebook,,True,,,173212;
deeplift,kundajelab,822,164,43,Public facing deeplift repo,2016-06-01 02:18:06+00:00,2024-12-20 00:20:07+00:00,Python,,True,,,11266;
s-vae-pytorch,nicola-decao,350,57,0,Pytorch implementation of Hyperspherical Variational Auto-Encoders,2018-06-29 07:52:11+00:00,2024-12-19 09:25:48+00:00,Python,,False,,,28;
EvoloPy,7ossam81,448,224,27,EvoloPy toolbox provides classical and recent nature-inspired metaheuristic for the global optimization.,2016-05-18 11:03:21+00:00,2024-12-06 07:31:28+00:00,Jupyter Notebook,scikit-learn,False,,,488;
"Python,geekcomputers,31226,12198,391,My Python Examples,2011-11-30 09:04:08+00:00,2024-12-20 12:46:17+00:00,Python,""tensorflow,keras"",True,,,37647";
kraken,mittagessen,736,130,28,OCR engine for all the languages,2015-05-19 09:24:38+00:00,2024-12-18 15:35:28+00:00,Python,,True,,,29664;
"Seq2seqChatbots,ricsinaruto,472,74,5,""A wrapper around tensor2tensor to flexibly train, interact, and generate data for neural chatbots."",2017-07-30 10:29:27+00:00,2024-12-03 03:32:15+00:00,Python,tensorflow,False,,,61372";
nmt-keras,lvapeab,533,130,3,Neural Machine Translation with Keras ,2016-11-22 14:04:09+00:00,2024-10-14 09:20:08+00:00,Python,,True,,,5903;
nussl,nussl,618,92,48,A flexible source separation library in Python,2015-06-24 18:28:34+00:00,2024-12-17 07:41:00+00:00,Python,torch,True,,,23541;
quilt,quiltdata,1327,91,72,Quilt is a data mesh for connecting people with actionable data,2017-02-10 02:46:03+00:00,2024-12-19 14:01:29+00:00,TypeScript,,True,,,172559;
"deepcut,rkcosmos,419,96,6,A Thai word tokenization library using Deep Neural Network,2017-06-22 08:17:45+00:00,2024-12-11 07:27:52+00:00,Python,""tensorflow,scikit-learn"",False,,,11815";
honk,castorini,511,124,7,PyTorch implementations of neural network models for keyword spotting,2017-09-14 01:45:32+00:00,2024-12-11 04:10:03+00:00,Python,torch,False,,,6070;
nuscenes-devkit,nutonomy,2268,627,12,The devkit of the nuScenes dataset.,2018-09-06 19:04:28+00:00,2024-12-20 11:01:01+00:00,Python,,False,,,5307;
deepspeech.pytorch,SeanNaren,2102,620,7,Speech Recognition using DeepSpeech2.,2017-01-10 07:28:18+00:00,2024-12-19 16:20:45+00:00,Python,torch,True,,,742;
plasma-python,PPPLDeepLearning,80,41,21,PPPL deep learning disruption prediction package,2016-11-06 03:50:53+00:00,2024-09-05 03:56:57+00:00,Python,,True,,,3032;
proteinnet,aqlaboratory,859,132,16,Standardized data set for machine learning of protein structure,2018-03-10 21:07:59+00:00,2024-12-16 18:03:52+00:00,Python,,False,,,228;
